date,total_emergency_supply_liters,total_ward_demand_liters,total_allocated_liters,net_deficit_liters,active_scenario,synthetic,seed,generator_version,generated_at
2026-08-14,367677,257537,257537,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,369193,258793,258793,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,367840,250890,250890,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-17,387458,255253,255253,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-18,378890,260681,260681,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-19,388369,255168,255168,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-20,386636,260264,260264,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-21,366084,256639,256639,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-22,392613,254862,254862,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-23,390172,257984,257984,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-24,383701,257433,257433,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-25,367544,260143,260143,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-26,152000,246970,152000,94970,SCENARIO_3_SEVERE_SHORTAGE,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-27,152000,256964,152000,104964,SCENARIO_3_SEVERE_SHORTAGE,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-28,152000,257230,152000,105230,SCENARIO_3_SEVERE_SHORTAGE,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-29,385204,254336,254336,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-30,393567,258295,258295,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-31,386435,263608,263608,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-09-01,387349,259856,259856,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-09-02,370021,260692,260692,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-09-03,383046,249334,249334,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-09-04,436999,295833,295833,0,SCENARIO_4_HEATWAVE_SURGE,true,42,2.0.0,2026-09-18T12:00:00Z
2026-09-05,436999,293572,293572,0,SCENARIO_4_HEATWAVE_SURGE,true,42,2.0.0,2026-09-18T12:00:00Z
2026-09-06,436999,289760,289760,0,SCENARIO_4_HEATWAVE_SURGE,true,42,2.0.0,2026-09-18T12:00:00Z
2026-09-07,436999,293456,293456,0,SCENARIO_4_HEATWAVE_SURGE,true,42,2.0.0,2026-09-18T12:00:00Z
2026-09-08,382939,263480,263480,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-09-09,365474,258348,258348,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-09-10,378058,250373,250373,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-09-11,382479,258091,258091,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-09-12,374313,257029,257029,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-09-13,367601,263049,263049,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-09-14,372247,253978,253978,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-09-15,384320,257126,257126,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-09-16,374303,256632,256632,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-09-17,365486,254577,254577,0,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
