dispatch_id,dispatched_at,transponder_id,ward_code,ward_name,delivered_volume_liters,route_distance_km,otp_code,delivery_status,tds_reading_ppm,ph_reading,synthetic,seed,generator_version,generated_at
20001,2026-08-14T16:00:00Z,T-03,F/S,Parel / Sewri / Lalbaug,8000,3.32,7419,Delivered,218.3,7.41,true,42,2.0.0,2026-09-18T12:00:00Z
20002,2026-08-14T19:00:00Z,T-02,R/N,Dahisar / Mandapeshwar,12000,17.36,7419,Delivered,203.9,7.18,true,42,2.0.0,2026-09-18T12:00:00Z
20003,2026-08-14T15:00:00Z,T-03,F/N,Matunga / Sion / Wadala,8000,3.24,7419,Delivered,221.2,7.18,true,42,2.0.0,2026-09-18T12:00:00Z
20004,2026-08-14T14:00:00Z,T-02,M/W,Chembur West / Tilak Nagar,12000,4.21,7419,Delivered,198.7,7.56,true,42,2.0.0,2026-09-18T12:00:00Z
20005,2026-08-14T13:00:00Z,T-06,F/S,Parel / Sewri / Lalbaug,12000,4.48,7419,Delivered,164.9,7.44,true,42,2.0.0,2026-09-18T12:00:00Z
20006,2026-08-14T19:00:00Z,T-02,N,Ghatkopar / Pant Nagar,12000,4.15,7419,Delivered,166.0,7.13,true,42,2.0.0,2026-09-18T12:00:00Z
20007,2026-08-14T16:00:00Z,T-02,P/S,Goregaon West & East,12000,10.07,7419,Delivered,231.9,7.3,true,42,2.0.0,2026-09-18T12:00:00Z
20008,2026-08-14T18:00:00Z,T-02,L,Kurla / Asalpha / Sakinaka,12000,7.2,7419,Delivered,192.0,7.18,true,42,2.0.0,2026-09-18T12:00:00Z
20009,2026-08-14T14:00:00Z,T-05,A,Colaba / Fort / Nariman Point,8000,7.98,7419,Delivered,231.5,7.75,true,42,2.0.0,2026-09-18T12:00:00Z
20010,2026-08-14T13:00:00Z,T-05,N,Ghatkopar / Pant Nagar,8000,4.82,7419,Delivered,177.5,7.43,true,42,2.0.0,2026-09-18T12:00:00Z
20011,2026-08-14T11:00:00Z,T-04,P/N,Malad / Marve / Malvani,10000,12.19,7419,Delivered,237.6,7.69,true,42,2.0.0,2026-09-18T12:00:00Z
20012,2026-08-14T16:00:00Z,T-07,G/N,Dharavi / Mahim / Dadar West,10000,4.0,7419,Delivered,180.6,7.11,true,42,2.0.0,2026-09-18T12:00:00Z
20013,2026-08-14T08:00:00Z,T-03,K/W,Andheri West / Versova,8000,6.21,7419,Delivered,200.7,7.78,true,42,2.0.0,2026-09-18T12:00:00Z
20014,2026-08-14T09:00:00Z,T-04,T,Mulund / Nahur,10000,3.77,7419,Delivered,232.1,7.14,true,42,2.0.0,2026-09-18T12:00:00Z
20015,2026-08-14T15:00:00Z,T-02,R/S,Kandivali West & East,12000,14.2,7419,Delivered,172.0,7.74,true,42,2.0.0,2026-09-18T12:00:00Z
20016,2026-08-14T11:00:00Z,T-08,F/N,Matunga / Sion / Wadala,10000,2.84,7419,Delivered,196.6,7.13,true,42,2.0.0,2026-09-18T12:00:00Z
20017,2026-08-14T11:00:00Z,T-01,R/N,Dahisar / Mandapeshwar,10000,17.02,7419,Delivered,224.8,7.79,true,42,2.0.0,2026-09-18T12:00:00Z
20018,2026-08-15T08:00:00Z,T-08,R/C,Borivali / Gorai,10000,16.4,7419,Delivered,223.8,7.45,true,42,2.0.0,2026-09-18T12:00:00Z
20019,2026-08-15T18:00:00Z,T-09,R/C,Borivali / Gorai,8000,15.2,7419,Delivered,177.9,7.46,true,42,2.0.0,2026-09-18T12:00:00Z
20020,2026-08-15T12:00:00Z,T-04,F/N,Matunga / Sion / Wadala,10000,3.0,7419,Delivered,227.6,7.59,true,42,2.0.0,2026-09-18T12:00:00Z
20021,2026-08-15T11:00:00Z,T-07,P/N,Malad / Marve / Malvani,10000,11.12,7419,Delivered,169.0,7.54,true,42,2.0.0,2026-09-18T12:00:00Z
20022,2026-08-15T09:00:00Z,T-01,C,Marine Lines / Chandanwadi,10000,5.97,7419,Delivered,162.1,7.7,true,42,2.0.0,2026-09-18T12:00:00Z
20023,2026-08-15T12:00:00Z,T-06,H/E,Bandra East / Santacruz East,12000,5.1,7419,Delivered,212.8,7.35,true,42,2.0.0,2026-09-18T12:00:00Z
20024,2026-08-15T17:00:00Z,T-03,R/S,Kandivali West & East,8000,14.5,7419,Delivered,209.8,7.65,true,42,2.0.0,2026-09-18T12:00:00Z
20025,2026-08-15T16:00:00Z,T-01,K/E,Andheri East / Marol,10000,3.47,7419,Delivered,213.1,7.1,true,42,2.0.0,2026-09-18T12:00:00Z
20026,2026-08-15T16:00:00Z,T-06,P/N,Malad / Marve / Malvani,12000,11.82,7419,Delivered,168.9,7.12,true,42,2.0.0,2026-09-18T12:00:00Z
20027,2026-08-15T08:00:00Z,T-08,L,Kurla / Asalpha / Sakinaka,10000,5.73,7419,Delivered,170.6,7.49,true,42,2.0.0,2026-09-18T12:00:00Z
20028,2026-08-15T12:00:00Z,T-01,A,Colaba / Fort / Nariman Point,10000,8.77,7419,Delivered,171.7,7.39,true,42,2.0.0,2026-09-18T12:00:00Z
20029,2026-08-15T13:00:00Z,T-08,H/E,Bandra East / Santacruz East,10000,5.74,7419,Delivered,213.6,7.55,true,42,2.0.0,2026-09-18T12:00:00Z
20030,2026-08-15T12:00:00Z,T-04,R/C,Borivali / Gorai,10000,15.19,7419,Delivered,226.8,7.78,true,42,2.0.0,2026-09-18T12:00:00Z
20031,2026-08-15T11:00:00Z,T-08,R/N,Dahisar / Mandapeshwar,10000,18.38,7419,Delivered,199.3,7.16,true,42,2.0.0,2026-09-18T12:00:00Z
20032,2026-08-15T17:00:00Z,T-07,S,Bhandup / Kanjurmarg / Powai,10000,1.05,7419,Delivered,210.1,7.41,true,42,2.0.0,2026-09-18T12:00:00Z
20033,2026-08-15T09:00:00Z,T-02,A,Colaba / Fort / Nariman Point,12000,7.82,7419,Delivered,200.9,7.57,true,42,2.0.0,2026-09-18T12:00:00Z
20034,2026-08-15T09:00:00Z,T-03,K/W,Andheri West / Versova,8000,7.2,7419,Delivered,199.5,7.47,true,42,2.0.0,2026-09-18T12:00:00Z
20035,2026-08-15T19:00:00Z,T-03,B,Sandhurst Road / Dongri,8000,5.29,7419,Delivered,189.5,7.46,true,42,2.0.0,2026-09-18T12:00:00Z
20036,2026-08-15T19:00:00Z,T-03,E,Byculla / Mazgaon / Nagpada,8000,4.76,7419,Delivered,230.9,7.36,true,42,2.0.0,2026-09-18T12:00:00Z
20037,2026-08-16T14:00:00Z,T-03,M/W,Chembur West / Tilak Nagar,8000,4.36,7419,Delivered,192.8,7.66,true,42,2.0.0,2026-09-18T12:00:00Z
20038,2026-08-16T08:00:00Z,T-04,C,Marine Lines / Chandanwadi,10000,6.37,7419,Delivered,218.0,7.21,true,42,2.0.0,2026-09-18T12:00:00Z
20039,2026-08-16T17:00:00Z,T-03,R/N,Dahisar / Mandapeshwar,8000,17.25,7419,Delivered,229.5,7.4,true,42,2.0.0,2026-09-18T12:00:00Z
20040,2026-08-16T15:00:00Z,T-06,L,Kurla / Asalpha / Sakinaka,12000,7.04,7419,Delivered,234.9,7.36,true,42,2.0.0,2026-09-18T12:00:00Z
20041,2026-08-16T19:00:00Z,T-02,G/N,Dharavi / Mahim / Dadar West,12000,4.21,7419,Delivered,189.7,7.4,true,42,2.0.0,2026-09-18T12:00:00Z
20042,2026-08-16T19:00:00Z,T-02,H/E,Bandra East / Santacruz East,12000,5.99,7419,Delivered,203.3,7.21,true,42,2.0.0,2026-09-18T12:00:00Z
20043,2026-08-16T19:00:00Z,T-05,N,Ghatkopar / Pant Nagar,8000,4.93,7419,Delivered,168.9,7.21,true,42,2.0.0,2026-09-18T12:00:00Z
20044,2026-08-16T19:00:00Z,T-05,N,Ghatkopar / Pant Nagar,8000,5.07,7419,Delivered,189.8,7.25,true,42,2.0.0,2026-09-18T12:00:00Z
20045,2026-08-16T17:00:00Z,T-03,R/S,Kandivali West & East,8000,13.27,7419,Delivered,224.7,7.4,true,42,2.0.0,2026-09-18T12:00:00Z
20046,2026-08-16T19:00:00Z,T-04,B,Sandhurst Road / Dongri,10000,6.59,7419,Delivered,225.3,7.17,true,42,2.0.0,2026-09-18T12:00:00Z
20047,2026-08-16T11:00:00Z,T-02,N,Ghatkopar / Pant Nagar,12000,4.84,7419,Delivered,191.2,7.76,true,42,2.0.0,2026-09-18T12:00:00Z
20048,2026-08-16T11:00:00Z,T-07,R/C,Borivali / Gorai,10000,16.14,7419,Delivered,225.4,7.61,true,42,2.0.0,2026-09-18T12:00:00Z
20049,2026-08-16T12:00:00Z,T-10,R/S,Kandivali West & East,10000,14.04,7419,Delivered,166.0,7.51,true,42,2.0.0,2026-09-18T12:00:00Z
20050,2026-08-16T10:00:00Z,T-09,G/N,Dharavi / Mahim / Dadar West,8000,4.2,7419,Delivered,204.5,7.24,true,42,2.0.0,2026-09-18T12:00:00Z
20051,2026-08-16T11:00:00Z,T-10,N,Ghatkopar / Pant Nagar,10000,5.15,7419,Delivered,208.4,7.45,true,42,2.0.0,2026-09-18T12:00:00Z
20052,2026-08-17T11:00:00Z,T-06,N,Ghatkopar / Pant Nagar,12000,4.78,7419,Delivered,228.1,7.73,true,42,2.0.0,2026-09-18T12:00:00Z
20053,2026-08-17T17:00:00Z,T-05,F/N,Matunga / Sion / Wadala,8000,2.76,7419,Delivered,234.0,7.79,true,42,2.0.0,2026-09-18T12:00:00Z
20054,2026-08-17T09:00:00Z,T-01,T,Mulund / Nahur,10000,3.62,7419,Delivered,171.9,7.8,true,42,2.0.0,2026-09-18T12:00:00Z
20055,2026-08-17T19:00:00Z,T-06,A,Colaba / Fort / Nariman Point,12000,7.64,7419,Delivered,199.4,7.73,true,42,2.0.0,2026-09-18T12:00:00Z
20056,2026-08-17T16:00:00Z,T-03,S,Bhandup / Kanjurmarg / Powai,8000,1.58,7419,Delivered,163.1,7.53,true,42,2.0.0,2026-09-18T12:00:00Z
